task_id,pillar,month,owner,action,why,how,priority,estimated_hours,acceptance,document_reference,sop_reference
CP-01,Core Pages,M1,Aleksa + Aleksandar,Service-page CTA + tracking audit → form-deploy recommendation,"Service pages have a Call Now button (not a form). The reported '0 form-conversions on 24K sessions / 365d' may overstate the gap if tap-to-call events aren't firing as GA4 conversions — some of those visitors likely already convert via phone, just untracked. Audit the tracking state first; size the real loss; THEN recommend the form. Form add is still the right call: even with tap-to-call working, a 4-input form on high-intent service pages typically lifts total conversions by capturing the share of users who won't make a phone call.","Step 1: deliver a 1-page recommendation memo to AA's dev/marketing owner — model (24K sessions × 2-3% form rate = +480-720/yr conversions), scope (reuse the same 4-input form already on homepage + /contact + /admissions), dev effort estimate (Webflow component reuse — 1-2 days), tracking plan (GA4 form_submit event firing per URL). Step 2: pull GA4 events via API to verify whether tap-to-call on existing Call Now is firing as a conversion event — if not, that's a tracking-gap fallback to ship while form approval is in flight. Step 3: own AA-side approval chase as a 30-day target with weekly status logged.",P0-must,4,Memo delivered + GA4 tap-to-call audit complete + dev approval status logged weekly,—,HQDM/A - HQDM SOPs/On-Page/Service-Page-Build-SOP
CP-02,Core Pages,M1,Aleksa,Rewrite homepage og:description + meta description,Homepage social-share preview currently renders 'Bold Steps Behavioral Health is the best drug rehab in Harrisburg PA' — wrong-brand boilerplate live in production. Every share of armsacres.com on social today renders this. 5-minute fix.,Replace with NY-state / Carmel-anchored / Medicaid + Aetna + inpatient / Liberation Programs Inc. copy. Validate via Facebook Sharing Debugger + LinkedIn Post Inspector after deploy.,P0-must,1,View-source check on armsacres.com/; og:description renders correctly in Facebook Sharing Debugger + LinkedIn Post Inspector,—,HQDM/A - HQDM SOPs/On-Page/Homepage-Optimization-SOP
SP-01,Service Pages,M3,Aleksa + Content,Ship /alcohol-rehab-new-york (NY-state-level positioning page),880-vol cluster with 3-competitor consensus. AA's current homepage is the matched URL for this intent but doesn't fully cover it. Building a dedicated state-level page consolidates the cluster + creates a destination for insurance article internal links + matches what Ascendant and Mountainside already have.,Universal service-page template per HQDM SOP. 1500+ words. Hero + NY-state-level positioning + Medicaid + service tiers + 4-location enumeration + intake form (gated on CP-01) + Service schema + Areas We Serve. Internal links FROM homepage + /inpatient/adult-rehabilitation + insurance article batch. Watch cannibalization with /inpatient/adult-rehabilitation — route /alcohol-rehab-new-york to top-of-funnel state-level intent.,P0-must,14,Page live + indexed + M3 GSC rank captured; cannibalization check log,—,HQDM/A - HQDM SOPs/On-Page/Service-Page-Build-SOP
SP-02,Service Pages,M3,Aleksa + Content,Ship /detox-new-york (NY-state-level positioning page),260-vol cluster (#1 NEW_PAGE per competitor brief). NY-state detox intent. AA's /inpatient/detox-program is Carmel-only — no NY-state-level page exists. 3-competitor consensus rank.,"Universal service-page template. NY-state detox positioning + medical supervision + insurance + intake form + Service schema. Internal links FROM /inpatient/detox-program + /alcohol-rehab-new-york + homepage. Watch cannibalization with /inpatient/detox-program — route /detox-new-york to state-level discovery, /inpatient/detox-program to commercial-intent.",P0-must,12,Page live + indexed + M3 GSC rank captured; cannibalization check log,—,HQDM/A - HQDM SOPs/On-Page/Service-Page-Build-SOP
SP-03,Service Pages,M1,Aleksa + Content,Improve /inpatient PARENT page (not adult-rehabilitation) — already capturing the cluster,"GSC 365d data: /inpatient PARENT is the page already capturing the inpatient-cluster intent — 77K impressions / 964 clicks / pos 5.6 / 1.25% CTR. /inpatient/adult-rehabilitation by contrast only gets 1,610 imp at pos 27.2. Earlier framing put SP-03 on the adult-rehab sub-page, but the data says improve the parent. Top-3 push on the /inpatient parent at 77K imp would deliver ~10× the click base vs improving the sub-page from pos 27.","Step 1: improve /inpatient parent — insurance-by-name section (Aetna / Medicare / Medicaid / Tricare) + Medicaid acceptance prominent + structured links to /inpatient/adult-rehabilitation + /inpatient/detox-program + FAQPage schema covering 6-10 high-intent questions. Step 2: position /inpatient/adult-rehabilitation as a deeper sub-page (specific adult-rehab intent), not the cluster catch-all. Step 3: confirm /inpatient parent is the canonical for the inpatient-near-me intent + 301 any orphaned variants pointing at /inpatient/* if found.",P0-must,10,/inpatient parent: insurance names present + Medicaid section prominent + FAQ schema validates + word count +30%; sub-page hierarchy clean,—,HQDM/A - HQDM SOPs/On-Page/Page-Refresh-SOP
SP-04,Service Pages,M2,Aleksa + Content,Audit + fix + expand /outpatient/queens-outpatient,"Page already exists with hero + Queens NAP + 'Start Your Treatment Here' button + map widget — BUT the map widget renders '21 Old Rte 6 Carmel Hamlet' (Carmel address) on the Queens page. Signals Carmel to anyone using the embedded map. Plus Queens OP shows 100% top-20 / 12-25% top-3 on its LD grid — pushing more cells into top-3 is the lever, and on-page support matters.",Step 1: fix the embedded map widget to render Queens 90-02 161st St / Jamaica NY. Step 2: add Queens neighborhood enumeration (Jamaica + Flushing + Forest Hills + Astoria + LIC + Sunnyside) — EAV-stack expansion per Boost Mode On-Page SOP. Step 3: add LocalBusiness schema with Queens NAP. Step 4: integrate form template if CP-01 approved.,P0-must,6,Map widget shows Queens address + neighborhood block ≥6 names + LocalBusiness schema validates + form deployed if CP-01 recommends,—,HQDM/A - HQDM SOPs/On-Page/Service-Page-Build-SOP
SP-05,Service Pages,M2,Aleksa + Content,Audit + fix + expand /outpatient/bronx-outpatient,"Same pattern as Queens — page exists with basic info + likely same map-widget issue. Bronx OP currently has no LD grid baseline (see OFF-07_M1), so we won't have ranking attribution until M3 — but the on-page work ships in M2 regardless because it's table-stakes for a real location page.",Step 1: audit page state (CTA + map widget + NAP accuracy + schema presence). Step 2: fix map widget to Bronx 3584 Jerome Ave. Step 3: add Bronx neighborhood enumeration (Fordham + Williamsbridge + Norwood + Tremont + Belmont + Bedford Park). Step 4: add LocalBusiness schema with Bronx NAP. Step 5: integrate form template if CP-01 approved.,P0-must,6,Map fixed + neighborhood block ≥6 + LocalBusiness schema validates with Bronx NAP + form deployed if CP-01 recommends,—,HQDM/A - HQDM SOPs/On-Page/Service-Page-Build-SOP
SP-06,Service Pages,M1,Aleksa + Aleksandar,Service-page ↔ GBP services-list gap audit + Q3 page-build plan,"AA's 4 GBPs each list services. Some of those services don't have a dedicated site page (likely gaps: IOP, dual diagnosis, alcohol-specific detox, opioid-specific detox, family therapy). When a Maps user clicks a GBP service that links to homepage, the conversion path is broken. This audit maps the gap and outputs the Q3 page-build queue.","Inventory: every service listed on each of 4 GBPs vs site catalog (/inpatient/adult-rehabilitation · /inpatient/detox-program · /outpatient/{bronx,carmel,queens}-outpatient · /service/alumni · equine-therapy · fitness-recreation · medication-assisted-therapy · psychiatric-services · recovery-coach). Output: 1-page audit + ranked list of 3-5 new service pages to build in Q3.",P0-must,3,Audit doc lists every GBP service → site URL mapping + 3-5 prioritized page-build recommendations,—,HQDM/A - HQDM SOPs/On-Page/Service-Page-Build-SOP
SP-07,Service Pages,M3,Aleksa + Content,Insurance-carrier anchored sections on /admissions,"Closes the loop on the insurance lever — once CN-01 article batch is lifting in M2, /admissions becomes the commercial-intent destination for carrier-modified queries (Aetna + Medicare + Medicaid + Tricare + Cigna + BCBS).",Add anchored sections on /admissions per carrier with FAQ schema and Verify-Your-Coverage CTA. Each section internal-links from the corresponding article in the CN-01 batch via the in-article CTA. Cannibalization route: /admissions sections own commercial-intent verify-coverage queries; articles own top-of-funnel.,P1-stretch,6,6 anchored sections live + FAQ schema validates + Verify-Your-Coverage CTA functional + cannibalization route documented,—,HQDM/A - HQDM SOPs/On-Page/Page-Refresh-SOP
SA-01_M1,Site Architecture,M1,Aleksa + Content,/suburb/* audit + per-URL bucketing (71 URLs),71 templated /suburb/* doorways generate 348 clicks / 127K imp / 365d. Most are core-topical (rehab + recovery in real Hudson Valley + NYC catchment neighborhoods). Audit-back pattern (don't blanket-NOINDEX) preserves the topical authority and protects the existing click + impression base.,Per-URL audit: word count + has-real-content (vs empty/templated) + GSC clicks/imp/365d + has-backlinks. Bucket per the rule: KEEP and improve if core-topical AND ≥5 clicks/365d OR has backlinks; AUDIT if mixed signal; NOINDEX only if off-topic AND no traffic AND no backlinks. Output: bucket sheet for M2/M3 cohort selection.,P0-must,4,Per-URL audit sheet (71 rows) with bucket assignment + click/imp/backlink data,Arms_Acres_Suburb_Pages_3Month.xlsx,HQDM/A - HQDM SOPs/Content/Suburb-Page-SOP
SA-01_M2,Site Architecture,M2,Aleksa + Content,/suburb/* improvement cohort — first 10 thin pages,M1 audit identifies the bucket. M2 improves the 10 highest-traffic thin URLs that bucketed to KEEP/AUDIT. Each rewrite preserves the page's existing click signal while adding genuine local content + neighborhood-specific copy + internal link to relevant service/location page.,"Open Arms_Acres_Suburb_Pages_3Month.xlsx, filter month=M2 (top 10 by traffic from M1 cohort). For each: rewrite to genuine local content per the AA neighborhoods served + internal-link to the relevant service or location page + add Micro-Proof Rule E-E-A-T signal per Boost Mode SOP.",P0-must,8,10 /suburb/* pages improved; per-URL change log; M3 traffic preserved or up,Arms_Acres_Suburb_Pages_3Month.xlsx,HQDM/A - HQDM SOPs/Content/Suburb-Page-SOP
SA-01_M3,Site Architecture,M3,Aleksa + Content,/suburb/* improvement cohort — next 10 thin pages,Same pattern as M2 — next 10 highest-traffic thin URLs from the M1 audit cohort. Spreads workload across the quarter rather than committing to a blanket cleanup that risks losing topical-authority assets.,Open Arms_Acres_Suburb_Pages_3Month.xlsx filter month=M3 (next 10 by traffic). Same improvement template as M2.,P1-stretch,8,10 additional /suburb/* pages improved; patterns documented for Q3+ cohort,Arms_Acres_Suburb_Pages_3Month.xlsx,HQDM/A - HQDM SOPs/Content/Suburb-Page-SOP
SA-02,Site Architecture,M3,Aleksa,De-duplicate 4 /service/<x>-in-carmel-hamlet-ny near-duplicate pairs,"4 service URLs have city-modified twins sharing 39% body content with their parents: /service/equine-therapy-program ↔ -in-carmel-hamlet-ny, fitness-recreation-program, medication-assisted-therapy, psychiatric-services. Internal cannibalization — Google sees 2 near-identical pages competing for the same intent.",Per pair (4 pairs). Option A: 301 the city-modified to the parent (recommended unless the city version has unique earned traffic). Option B: rewrite the city version with genuine Carmel-Hamlet specificity (street-level reference + hours + photos + NAP + Carmel-specific patient outcomes). Don't leave both indexable as-is.,P1-stretch,3,Each pair has a canonical decision implemented (301 or rewrite); body-overlap re-measured <70%; canonical chain verified,—,HQDM/A - HQDM SOPs/Dev/301-Redirect-SOP
OS-01,On-Page Schema,M3,Aleksa + Dev,Schema deployment — LocalBusiness + Service + FAQPage on Tier-1 pages,Today the homepage carries Organization schema only. /service/* + /inpatient/* + /outpatient/* have zero JSON-LD. Closing this gap lifts rich-result eligibility on the highest-intent commercial pages + improves AI-Overview / LLM citation surface. Article/BlogPosting schema explicitly out of scope per client priority.,Open Arms_Acres_Schema_Plan_3Month.xlsx. LocalBusiness on 3 outpatient location pages + /inpatient/adult-rehabilitation + /inpatient/detox-program. Service schema on every /service/* (including the 4 city-modifier pairs IF kept post SA-02). FAQPage on CN-01 + CN-02 articles (10 URLs total). Apply 3-layer schema validation gate (Wikidata Q-ID verifier + schema.org property validator + manual paste into validator.schema.org/RRT) before deploy.,P0-must,12,Rich Results Test pass on ≥80% of touched URLs; per-URL deploy log; no validation errors at deploy,Arms_Acres_Schema_Plan_3Month.xlsx,HQDM/A - HQDM SOPs/On-Page/Schema-Deployment-SOP
CN-01_M1,Content,M1,Aleksa + Content,Insurance article batch — title + meta + FAQ schema (5 articles),10 insurance/payor/cost articles rank pos 11-20 with 214K combined imp / 180d at <0.5% CTR. Top-3 average CTR ≈ 30%. Title + FAQ schema is the lowest-effort + highest-CTR-uplift work — do it first to establish trend signal before deeper content updates.,Open Arms_Acres_Meta_Refresh_Pages.xlsx filter month=M1 (5 articles: insurance-cover-rehab + how-to-get-insurance-to-pay-for-inpatient-rehab + medicare-rehab + tricare-rehab + aetna-rehab). For each: new title + meta + FAQPage schema. Avoid orphan — each must internal-link to /inpatient/adult-rehabilitation + /admissions.,P0-must,6,5 titles rewritten + new metas live + FAQ schema renders in Rich Results Test + GSC URL inspection submitted on all 5 + M2 baseline CTR captured,Arms_Acres_Meta_Refresh_Pages.xlsx,HQDM/A - HQDM SOPs/On-Page/Meta-Title-Refresh-SOP
CN-01_M2,Content,M2,Aleksa + Content,Insurance article batch — contextual content update + internal linking,Title rewrites in M1 establish CTR baseline. Contextual content + internal-linking deepens ranking signal. Rank + CTR compound when title + schema + content + interlinks reinforce the same intent set.,"Open Arms_Acres_Meta_Refresh_Pages.xlsx filter month=M2 (same 5 articles). Refresh 2026 stats (cost ranges + carrier coverage + Medicaid expansion). Add a payor-specific FAQ block per article. Internal-link FROM each article TO /inpatient/adult-rehabilitation + /admissions + /alcohol-rehab-new-york + /detox-new-york (the latter two referenced once SP-01/SP-02 ship). Cannibalization check vs SP-07 /admissions Aetna section — route articles to top-of-funnel, /admissions to commercial-intent.",P0-must,8,5 articles updated with 2026 stats + payor-FAQ + 3-5 contextual internal links per article; cannibalization check log,Arms_Acres_Meta_Refresh_Pages.xlsx,HQDM/A - HQDM SOPs/Content/Blog-Refresh-SOP
CN-01_M3,Content,M3,Aleksandar,Insurance article batch — measurement + amplification,Closes the planned → executed → impact loop on the Q2 content lever. Measures CTR + position + click delta against M1 baseline. If 3 of 5 hit target (top 5 + ≥2% CTR) invest in CN-02; if not diagnose and adjust before scaling.,GSC export at M3 close: position + impressions + CTR + clicks vs M1 baseline. Term-by-term cannibalization re-check. Flag winners for amplification (additional internal links + 'Resources' link block if applicable). Flag laggards for diagnosis.,P0-must,3,M3 delta sheet: per-article position + imp + CTR + click delta vs M1 baseline; flag list for amplification or diagnosis,Arms_Acres_Meta_Refresh_Pages.xlsx,HQDM/A - HQDM SOPs/Reporting/Quarterly-Close-Out-SOP
