url,word_count,schema_present,bigger_area,gsc_impressions_365d,gsc_clicks_365d,google_index_status,gsc_coverage_state,gsc_verdict,canonical_matches,google_canonical,user_canonical,last_crawl_time,status,decision
https://surfpointrecovery.com/locations/bronx,33,N,Bronx,1,0,"NOT INDEXED (crawled, not selected)",Crawled - currently not indexed,NEUTRAL,,,,2025-11-28T21:41:11Z,200,Upgrade
https://surfpointrecovery.com/locations/brooklyn,33,N,Brooklyn,59,1,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/brooklyn,https://www.surfpointrecovery.com/locations/brooklyn,2026-03-14T01:49:14Z,200,Upgrade
https://surfpointrecovery.com/locations/brownsville,33,N,Brooklyn,12,0,"NOT INDEXED (discovered, not crawled)",Discovered - currently not indexed,NEUTRAL,,,,,200,Upgrade
https://surfpointrecovery.com/locations/gravesend-ny,33,N,Brooklyn,0,0,NEUTRAL,URL is unknown to Google,NEUTRAL,,,,,200,https://www.surfpointrecovery.com/areas-served
https://surfpointrecovery.com/locations/brighton-beach-ny,34,N,Brooklyn,10,1,"NOT INDEXED (discovered, not crawled)",Discovered - currently not indexed,NEUTRAL,,,,,200,https://www.surfpointrecovery.com/areas-served
https://surfpointrecovery.com/locations/coney-island,34,N,Brooklyn,404,6,NOINDEX (excluded by meta robots),Excluded by ‘noindex’ tag,NEUTRAL,Y,https://www.surfpointrecovery.com/locations/coney-island,https://www.surfpointrecovery.com/locations/coney-island,2026-03-18T18:41:41Z,200,https://surfpointrecovery.com/locations/comprehensive-rehab-center-in-coney-island-ny
https://surfpointrecovery.com/locations/cypress-hills,34,N,Brooklyn,21,1,"NOT INDEXED (crawled, not selected)",Crawled - currently not indexed,NEUTRAL,Y,https://www.surfpointrecovery.com/locations/cypress-hills,https://www.surfpointrecovery.com/locations/cypress-hills,2026-04-10T18:16:16Z,200,https://www.surfpointrecovery.com/areas-served
https://surfpointrecovery.com/locations/east-flatbush,34,N,Brooklyn,104,0,NOINDEX (excluded by meta robots),Excluded by ‘noindex’ tag,NEUTRAL,Y,https://www.surfpointrecovery.com/locations/east-flatbush,https://www.surfpointrecovery.com/locations/east-flatbush,2026-04-10T15:38:31Z,200,https://www.surfpointrecovery.com/areas-served
https://surfpointrecovery.com/locations/carroll-gardens-red-hook,35,N,Brooklyn,225,8,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/carroll-gardens-red-hook,https://www.surfpointrecovery.com/locations/carroll-gardens-red-hook,2026-05-12T22:10:56Z,200,https://www.surfpointrecovery.com/areas-served
https://surfpointrecovery.com/locations/east-new-york,35,N,Brooklyn,273,0,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/east-new-york,https://www.surfpointrecovery.com/locations/east-new-york,2026-05-02T02:12:43Z,200,https://surfpointrecovery.com/locations/new-york-city
https://surfpointrecovery.com/locations/flatbush,400,N,Brooklyn,295,1,"NOT INDEXED (discovered, not crawled)",Discovered - currently not indexed,NEUTRAL,,,,,200,KEEP (has content)
https://surfpointrecovery.com/locations/leading-addiction-recovery-center-in-georgetown-ny,405,N,Brooklyn,373,1,"NOT INDEXED (crawled, not selected)",Crawled - currently not indexed,NEUTRAL,Y,https://www.surfpointrecovery.com/locations/leading-addiction-recovery-center-in-georgetown-ny,https://www.surfpointrecovery.com/locations/leading-addiction-recovery-center-in-georgetown-ny,2026-04-06T03:43:59Z,200,KEEP (has content)
https://surfpointrecovery.com/locations/accredited-addiction-recovery-center-in-bay-ridge-ny,432,N,Brooklyn,2870,16,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/accredited-addiction-recovery-center-in-bay-ridge-ny,https://www.surfpointrecovery.com/locations/accredited-addiction-recovery-center-in-bay-ridge-ny,2026-05-09T17:39:46Z,200,KEEP (has content)
https://surfpointrecovery.com/locations/comprehensive-rehabilitation-services-in-homecrest-ny,432,N,Brooklyn,41,0,NEUTRAL,URL is unknown to Google,NEUTRAL,,,,,200,KEEP (has content)
https://surfpointrecovery.com/locations/holistic-rehabilitation-services-in-borough-park-ny,433,N,Brooklyn,277,1,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/holistic-rehabilitation-services-in-borough-park-ny,https://www.surfpointrecovery.com/locations/holistic-rehabilitation-services-in-borough-park-ny,2026-05-07T18:06:14Z,200,KEEP (has content)
https://surfpointrecovery.com/locations/top-rehab-center-in-remsen-village-ny,445,N,Brooklyn,131,1,"NOT INDEXED (discovered, not crawled)",Discovered - currently not indexed,NEUTRAL,,,,,200,KEEP (has content)
https://surfpointrecovery.com/locations/leading-rehab-center-in-kensington-ny,447,N,Brooklyn,93,0,"NOT INDEXED (crawled, not selected)",Crawled - currently not indexed,NEUTRAL,Y,https://www.surfpointrecovery.com/locations/leading-rehab-center-in-kensington-ny,https://www.surfpointrecovery.com/locations/leading-rehab-center-in-kensington-ny,2026-03-18T01:07:56Z,200,KEEP (has content)
https://surfpointrecovery.com/locations/top-rated-addiction-recovery-center-in-madison-ny,447,N,Brooklyn,78,0,INDEXED,Submitted and indexed,PASS,N,https://www.surfpointrecovery.com/locations/top-rated-addiction-recovery-center-in-madison-ny,,2026-02-21T19:04:08Z,200,KEEP (has content)
https://surfpointrecovery.com/locations/trusted-rehab-center-in-windsor-terrace-ny,456,N,Brooklyn,188,0,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/trusted-rehab-center-in-windsor-terrace-ny,https://www.surfpointrecovery.com/locations/trusted-rehab-center-in-windsor-terrace-ny,2026-04-19T05:37:15Z,200,KEEP (has content)
https://surfpointrecovery.com/locations/patient-focused-rehabilitation-services-in-sunset-park-ny,461,N,Brooklyn,2,0,"NOT INDEXED (discovered, not crawled)",Discovered - currently not indexed,NEUTRAL,,,,,200,KEEP (has content)
https://surfpointrecovery.com/locations/famous-rehab-in-prospect-park-west-ny,495,N,Brooklyn,2,0,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/famous-rehab-in-prospect-park-west-ny,https://www.surfpointrecovery.com/locations/famous-rehab-in-prospect-park-west-ny,2026-05-01T14:14:19Z,200,KEEP (has content)
https://surfpointrecovery.com/locations/best-addiction-treatment-in-neptune-avenue-brooklyn,496,N,Brooklyn,99,1,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/best-addiction-treatment-in-neptune-avenue-brooklyn,https://www.surfpointrecovery.com/locations/best-addiction-treatment-in-neptune-avenue-brooklyn,2026-05-13T04:33:51Z,200,KEEP (has content)
https://surfpointrecovery.com/locations/comprehensive-rehabilitation-center-in-gravesend-bay-ny,497,N,Brooklyn,91,0,"NOT INDEXED (crawled, not selected)",Crawled - currently not indexed,NEUTRAL,Y,https://www.surfpointrecovery.com/locations/comprehensive-rehabilitation-center-in-gravesend-bay-ny,https://www.surfpointrecovery.com/locations/comprehensive-rehabilitation-center-in-gravesend-bay-ny,2026-03-27T22:31:10Z,200,KEEP (has content)
https://surfpointrecovery.com/locations/leading-rehab-center-in-oceanview-brooklyn,510,N,Brooklyn,34,0,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/leading-rehab-center-in-oceanview-brooklyn,https://www.surfpointrecovery.com/locations/leading-rehab-center-in-oceanview-brooklyn,2026-04-06T16:10:02Z,200,KEEP (has content)
https://surfpointrecovery.com/locations/stress-free-recovery-center-in-canarsie-brooklyn,522,N,Brooklyn,50,1,"NOT INDEXED (discovered, not crawled)",Discovered - currently not indexed,NEUTRAL,,,,,200,KEEP (has content)
https://surfpointrecovery.com/locations/effective-rehab-center-in-white-sands-brooklyn,523,N,Brooklyn,23,1,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/effective-rehab-center-in-white-sands-brooklyn,https://www.surfpointrecovery.com/locations/effective-rehab-center-in-white-sands-brooklyn,2026-03-29T11:37:33Z,200,KEEP (has content)
https://surfpointrecovery.com/locations/south-slope,526,N,Brooklyn,81,0,"NOT INDEXED (discovered, not crawled)",Discovered - currently not indexed,NEUTRAL,,,,,200,KEEP (has content)
https://surfpointrecovery.com/locations/local-rehabilitation-center-in-gerritsen-beach-ny,529,N,Brooklyn,23,0,"NOT INDEXED (crawled, not selected)",Crawled - currently not indexed,NEUTRAL,Y,https://www.surfpointrecovery.com/locations/local-rehabilitation-center-in-gerritsen-beach-ny,https://www.surfpointrecovery.com/locations/local-rehabilitation-center-in-gerritsen-beach-ny,2026-03-27T19:55:57Z,200,KEEP (has content)
https://surfpointrecovery.com/locations/holistic-rehabilitation-center-in-bensonhurst-west-ny,532,N,Brooklyn,1,0,"NOT INDEXED (crawled, not selected)",Crawled - currently not indexed,NEUTRAL,,,,2025-12-16T23:06:36Z,200,KEEP (has content)
https://surfpointrecovery.com/locations/starrett-city,533,N,Brooklyn,135,0,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/starrett-city,https://www.surfpointrecovery.com/locations/starrett-city,2026-04-16T20:33:26Z,200,KEEP (has content)
https://surfpointrecovery.com/locations/dependable-addiction-treatment-in-plumb-beach-brooklyn,536,N,Brooklyn,25,0,"NOT INDEXED (discovered, not crawled)",Discovered - currently not indexed,NEUTRAL,,,,,200,KEEP (has content)
https://surfpointrecovery.com/locations/premier-rehab-center-in-boardwalk-residential-strip-brooklyn,539,N,Brooklyn,38,0,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/premier-rehab-center-in-boardwalk-residential-strip-brooklyn,https://www.surfpointrecovery.com/locations/premier-rehab-center-in-boardwalk-residential-strip-brooklyn,2026-04-08T04:53:36Z,200,KEEP (has content)
https://surfpointrecovery.com/locations/dedicated-recovery-center-in-bergen-beach-brooklyn,541,N,Brooklyn,105,0,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/dedicated-recovery-center-in-bergen-beach-brooklyn,https://www.surfpointrecovery.com/locations/dedicated-recovery-center-in-bergen-beach-brooklyn,2026-04-06T00:19:44Z,200,KEEP (has content)
https://surfpointrecovery.com/locations/prospect-lefferts-gardens,542,N,Brooklyn,377,0,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/prospect-lefferts-gardens,https://www.surfpointrecovery.com/locations/prospect-lefferts-gardens,2026-03-29T13:22:18Z,200,KEEP (has content)
https://surfpointrecovery.com/locations/recommended-addiction-rehab-in-stillwell-brooklyn,545,N,Brooklyn,70,1,INDEXED,Submitted and indexed,PASS,N,https://www.surfpointrecovery.com/locations/recommended-addiction-rehab-in-stillwell-brooklyn,,2026-02-16T06:18:44Z,200,KEEP (has content)
https://surfpointrecovery.com/locations/leading-addiction-rehab-in-bay-ridge-towers-ny,553,N,Brooklyn,125,1,"NOT INDEXED (crawled, not selected)",Crawled - currently not indexed,NEUTRAL,,,,2025-12-27T20:24:35Z,200,KEEP (has content)
https://surfpointrecovery.com/locations/accredited-rehabilitation-center-in-little-caribbean-ny,568,N,Brooklyn,184,0,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/accredited-rehabilitation-center-in-little-caribbean-ny,https://www.surfpointrecovery.com/locations/accredited-rehabilitation-center-in-little-caribbean-ny,2026-02-28T01:14:17Z,200,KEEP (has content)
https://surfpointrecovery.com/locations/leading-rehabilitation-center-in-coney-island-creek-ny,581,N,Brooklyn,149,0,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/leading-rehabilitation-center-in-coney-island-creek-ny,https://www.surfpointrecovery.com/locations/leading-rehabilitation-center-in-coney-island-creek-ny,2026-04-24T11:02:09Z,200,KEEP (has content)
https://surfpointrecovery.com/locations/comprehensive-rehab-center-in-coney-island-ny,584,N,Brooklyn,773,4,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/comprehensive-rehab-center-in-coney-island-ny,https://www.surfpointrecovery.com/locations/comprehensive-rehab-center-in-coney-island-ny,2026-04-29T01:55:14Z,200,KEEP (has content)
https://surfpointrecovery.com/locations/most-reliable-rehab-center-in-kings-highway-ny,594,N,Brooklyn,334,0,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/most-reliable-rehab-center-in-kings-highway-ny,https://www.surfpointrecovery.com/locations/most-reliable-rehab-center-in-kings-highway-ny,2026-04-06T07:50:42Z,200,KEEP (has content)
https://surfpointrecovery.com/locations/trusted-addiction-rehab-in-ridgewood-avenue-ny,613,N,Brooklyn,42,0,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/trusted-addiction-rehab-in-ridgewood-avenue-ny,https://www.surfpointrecovery.com/locations/trusted-addiction-rehab-in-ridgewood-avenue-ny,2026-04-20T20:14:35Z,200,KEEP (has content)
https://surfpointrecovery.com/locations/dependable-rehab-in-fort-hamilton-ny,615,N,Brooklyn,77,0,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/dependable-rehab-in-fort-hamilton-ny,https://www.surfpointrecovery.com/locations/dependable-rehab-in-fort-hamilton-ny,2026-03-19T17:55:19Z,200,KEEP (has content)
https://surfpointrecovery.com/locations/licensed-addiction-treatment-center-in-park-slope-brooklyn,627,N,Brooklyn,15,0,"NOT INDEXED (discovered, not crawled)",Discovered - currently not indexed,NEUTRAL,,,,,200,KEEP (has content)
https://surfpointrecovery.com/locations/top-rated-rehabilitation-center-in-greenwood-heights-ny,634,N,Brooklyn,9,0,"NOT INDEXED (crawled, not selected)",Crawled - currently not indexed,NEUTRAL,,,,2025-12-27T19:51:27Z,200,KEEP (has content)
https://surfpointrecovery.com/locations/highly-recommended-rehab-in-shore-road-ny,689,N,Brooklyn,27,0,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/highly-recommended-rehab-in-shore-road-ny,https://www.surfpointrecovery.com/locations/highly-recommended-rehab-in-shore-road-ny,2026-05-09T17:30:35Z,200,KEEP (has content)
https://surfpointrecovery.com/locations/local-addiction-treatment-center-in-prospect-avenue-corridor-brooklyn,690,N,Brooklyn,15,0,NEUTRAL,URL is unknown to Google,NEUTRAL,,,,,200,KEEP (has content)
